Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,CSRD_Impl
HBW ABWICKLUNGS,D:HOW,HOWG.HA^J10,28101988,1988,Equities,Hanover,Germany,Euro,Investment Banking and Brokerage Services,HBW Abwicklungs,Dead,0.0
HC BERLIN PHARMA,D:HCS,HCSG.F^D11,22102008,2008,Equities,Deutsche Boerse AG,Germany,Euro,Pharmaceuticals and Biotechnology,HC Berlin Pharma,Dead,0.0
HD HYDROGEN DYNAMICS,67480F,5H7.F^C11,25022008,2008,Equities,Deutsche Boerse AG,Germany,Euro,Electricity,HD Hydrogen Dynamics,Dead,0.0
HEALTHY LIVING CENTRES,HLC,-,26041988,1988,Equities,London,Ireland,United Kingdom Pound,Travel and Leisure,Healthy Living Centres,Dead,1.0
HEDOSOPHIA EUROPEAN GROWTH,H:HEE1,HEGA.AS^E23,25062021,2021,Equities,Euronext.liffe Amsterdam,Germany,Euro,Open End and Miscellaneous Investment Vehicles,Hedosophia European Growth,Dead,0.0
HEIDELB.SCHLOSSQUELLBR.,951223,-,26091988,1988,Equities,Deutsche Boerse AG,Germany,German Mark,Food Producers,Heidelberger Schlossquellbrauerei,Dead,0.0
HEINKEL,D:HKL1,-,23041999,1999,Equities,Deutsche Boerse AG,Germany,Euro,Industrial Engineering,Heinkel,Dead,0.0
HEINKEL (XET),D:HK@X,-,27041999,1999,Equities,Xetra,Germany,Euro,Industrial Engineering,Heinkel (XETRA),Dead,0.0
HEINRICH INDS. (XET),D:HBBX,-,18122001,2001,Equities,Xetra,Germany,Euro,Electronic and Electrical Equipment,Heinrich Industries (XETRA),Dead,0.0
HEINRICH INDUSTR.,D:HBB,-,26091988,1988,Equities,Deutsche Boerse AG,Germany,Euro,Electronic and Electrical Equipment,Heinrich Industrie,Dead,0.0
HEITON GROUP,911817,-,30121964,1964,Equities,Dublin,Ireland,Euro,Industrial Support Services,Heiton Group,Dead,1.0
HELKON MEDIA,275536,HEKG.F^K09,6101999,1999,Equities,Deutsche Boerse AG,Germany,Euro,Media,Helkon Media,Dead,0.0
HELM AG,866887,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Helm AG,Dead,0.0
HENCH-THERMOPLAST,D:BKR,BKRG.F^L12,26091988,1988,Equities,Deutsche Boerse AG,Germany,Euro,Chemicals,Hench-Thermoplast,Dead,0.0
HENCH-THERMOPLAST (XET),D:BKRX,-,3042000,2000,Equities,Xetra,Germany,Euro,Chemicals,Hench-Thermoplast (XETRA),Dead,0.0
HENKEL KGAA STAMMAKTIE,866967,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Henkel KGaA Stammaktie,Dead,0.0
HEPAS ASSD.MEDIA,D:H8J,-,24042007,2007,Equities,Deutsche Boerse AG,Germany,Euro,Investment Banking and Brokerage Services,Hepas Associated Media,Dead,0.0
HEPAS ASSD.MEDIA (XET),D:H8JX,-,24042007,2007,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Hepas Associated Media (XETRA),Dead,0.0
HERAEUS HOLDING GMBH,866979,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Heraeus Holding GMBH,Dead,0.0
HERBERTS GMBH,866933,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Herberts GMBH,Dead,0.0
HERMANN C STARCK,866884,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Hermann C Starck,Dead,0.0
HERMES KREDITV.,D:HKV,-,26091988,1988,Equities,Munich,Germany,Euro,Non-life Insurance,Hermes Kreditversicherung,Dead,0.0
HERMIS BANK,LT:HER,-,8061998,1998,Equities,Lithuania,Lithuania,Lithuanian Lita,Banks,Hermis Bank,Dead,1.0
HERTIE W & K GMBH,866885,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Hertie W&K GMBH,Dead,0.0
HERZOG TELECOM (XET),D:HZTX,-,4111998,1998,Equities,Xetra,Germany,Euro,Retailers,Herzog Telecom (XETRA),Dead,0.0
HF EIMSKIPAFELAG ISLANDS,IC:AVI,HFEIM.IC^G09,23012006,2006,Equities,NASDAQ OMX Iceland,Iceland,Icelandic Krona,Industrial Transportation,HF Eimskipafelag Islands,Dead,
HIBERNIAN GROUP,HBN,-,7071986,1986,Equities,Dublin,Ireland,Euro,Non-life Insurance,Hibernian Group,Dead,1.0
HINDRICHS-AUFFERM (XET),D:AUFX,-,15022000,2000,Equities,Xetra,Germany,Euro,Industrial Metals and Mining,Hindrichs-Aufferm (XETRA),Dead,0.0
HINDRICHS-AUFFERMANN,951207,-,26091988,1988,Equities,Deutsche Boerse AG,Germany,Euro,Industrial Metals and Mining,Hindrichs-Auffermann,Dead,0.0
HITECH SNT CR,G:HITE,HTCr.AT^C11,3092002,2002,Equities,Athens,Greece,Euro,Software and Computer Services,Hitech SNT CR,Dead,0.0
HOESCH AG STAMMAKTIE,866934,-,14061996,1996,Equities,Deutsche Boerse AG,Germany,German Mark,Unclassified,Hoesch AG Stammaktie,Dead,0.0
HOFBRAU COBURG VERWALT.,D:HCO@,-,26091988,1988,Equities,Munich,Germany,German Mark,Beverages,Hofbrau Coburg Verwaltungs,Dead,0.0
HOFFMANN (XET),D:OC3X,-,21042011,2011,Equities,Xetra,Germany,Euro,Investment Banking and Brokerage Services,Hoffmann (XETRA),Dead,0.0
HOLCIM(DEUTSCHLAND)(XET),D:BPCX,-,16042004,2004,Equities,Xetra,Germany,Euro,Construction and Materials,Holcim (Deutschland) (XETRA),Dead,0.0
HOLIDAY CHECK GROUP(XET),D:HOCX,HOC.DE^K21,12072000,2000,Equities,Xetra,Germany,Euro,Software and Computer Services,Holiday Check Group (XETRA),Dead,0.0
HONG KONG INVESTMENT,885446,-,12021997,1997,Equities,Luxembourg,Luxembourg,United States Dollar,Unclassified,Hong Kong Investment,Dead,0.0
HONSEL-WERKE,D:HWE,-,19061989,1989,Equities,Duesseldorf,Germany,Euro,Industrial Engineering,Honsel-Werke,Dead,0.0
HORNBACH-BAUMARKT (XET),D:HBMX,HBMG.DE^C22,9111998,1998,Equities,Xetra,Germany,Euro,Retailers,Hornbach-Baumarkt (XETRA),Dead,0.0
HORNSCHUCH KONRAD (XET),D:HOKX,-,14062000,2000,Equities,Xetra,Germany,Euro,Household Goods and Home Construction,Hornschuch Konrad (XETRA),Dead,0.0
HORTEN (XET),273058,-,29111999,1999,Equities,Xetra,Germany,Euro,Retailers,Horten (XETRA),Dead,0.0
HOUSE BUILDING,I:HBG,HBG.MI^B11,28122009,2009,Equities,Milan,Italy,Euro,Household Goods and Home Construction,House Building,Dead,1.0
