Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,CSRD_Impl
LVMH,F:LVMH,LVMH.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,LVMH,Active,1.0
L'OREAL,F:OR@F,OREP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,l'Oreal,Active,1.0
TOTALENERGIES,F:FP,TTEF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",Totalenergies,Active,1.0
HERMES INTL.,F:RMS,HRMS.PA,3061993,1993,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Hermes International,Active,1.0
SCHNEIDER ELECTRIC,F:QT@F,SCHN.PA,18091981,1981,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Schneider Electric,Active,1.0
AIRBUS,F:AIRS,AIR.PA,10072000,2000,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Airbus,Active,1.0
NOVO NORDISK 'B',DK:NON,NOVOb.CO,14051974,1974,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Novo Nordisk 'B',Active,1.0
ANHEUSER-BUSCH INBEV,B:ABI,ABI.BR,30112000,2000,Equities,Euronext.liffe Brussels,Belgium,Euro,Beverages,Anheuser-Busch Inbev,Active,0.0
SAFRAN,F:SGM,SAF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Safran,Active,1.0
BNP PARIBAS,F:BNP,BNPP.PA,18101993,1993,Equities,Euronext.liffe Paris,France,Euro,Banks,Banque Nationale de Paris Paribas,Active,1.0
SANOFI,F:SQ@F,SASY.PA,21071980,1980,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Sanofi,Active,1.0
L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,F:AIR,AIRP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Chemicals,L Air LQE Societe Anonyme Pour L Etude et L Epxtn,Active,1.0
AXA,F:MIDI,AXAF.PA,27091977,1977,Equities,Euronext.liffe Paris,France,Euro,Non-life Insurance,AXA,Active,1.0
ESSILORLUXOTTICA,F:EI,ESLX.PA,28101975,1975,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Essilorluxottica,Active,1.0
ENGIE,F:ENGI,ENGIE.PA,7072005,2005,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Engie,Active,1.0
VINCI,F:DG@F,SGEF.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Vinci,Active,1.0
CHRISTIAN DIOR,F:CDI,DIOR.PA,4121991,1991,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Christian Dior,Active,1.0
NOKIA,M:NOK1,NOKIA.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Telecommunications Equipment,Nokia,Active,1.0
NORDEA BANK,M:NBH,NDAFI.HE,31012000,2000,Equities,Helsinki,Finland,Euro,Banks,Nordea Bank,Active,1.0
STMICROELECTRONICS,F:STM,STMPA.PA,8121994,1994,Equities,Euronext.liffe Paris,France,Euro,Technology Hardware and Equipment,Stmicroelectronics,Active,1.0
SOCIETE GENERALE,F:SGE,SOGN.PA,8071987,1987,Equities,Euronext.liffe Paris,France,Euro,Banks,Societe Generale,Active,1.0
CREDIT AGRICOLE,F:CRDA,CAGR.PA,13122001,2001,Equities,Euronext.liffe Paris,France,Euro,Banks,Credit Agricole,Active,1.0
THALES,F:CSF,TCFP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Thales,Active,1.0
DANONE,F:BSN,DANO.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Food Producers,Danone,Active,1.0
DSV,DK:DSV,DSV.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,DSV,Active,1.0
ORANGE,F:ORA,ORAN.PA,17101997,1997,Equities,Euronext.liffe Paris,France,Euro,Telecommunications Service Providers,Orange,Active,1.0
KBC GROUP,B:KB,KBC.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Banks,KBC Group,Active,0.0
UCB,B:UCB,UCB.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,UCB,Active,0.0
ERSTE GROUP BANK,O:ERS,ERST.VI,4121997,1997,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Erste Group Bank,Active,0.0
DANSKE BANK,DK:DAB,DANSKE.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Danske Bank,Active,1.0
ARGENX,B:ARGX,ARGX.BR,9072014,2014,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,Argenx,Active,0.0
LEGRAND,F:LRRS,LEGD.PA,6042006,2006,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Legrand,Active,1.0
SAINT GOBAIN,F:SGO,SGOB.PA,23121986,1986,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Saint Gobain,Active,1.0
OERSTED,DK:DEN,ORSTED.CO,9062016,2016,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Electricity,Oersted,Active,1.0
VEOLIA ENVIRON,F:VIE,VIE.PA,18072000,2000,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Veolia Environ,Active,1.0
DASSAULT SYSTEMES,F:DSY,DAST.PA,28061996,1996,Equities,Euronext.liffe Paris,France,Euro,Software and Computer Services,Dassault Systemes,Active,1.0
KERING,F:KER,PRTP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Kering,Active,1.0
VESTAS WINDSYSTEMS,DK:VEW,VWS.CO,30041998,1998,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Alternative Energy,Vestas Windsystems,Active,1.0
CEZ,CZ:CEZ,CEZP.PR,2111993,1993,Equities,Prague,Czech Republic,Czech Koruna,Electricity,CEZ,Active,1.0
DASSAULT AVIATION,F:AM@F,AM.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Dassault Aviation,Active,1.0
KONE B,M:KNEBV,KNEBV.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Engineering,Kone B,Active,1.0
OMV,O:OMV,OMVV.VI,2121987,1987,Equities,Vienna Stock Exchange,Austria,Euro,"Oil, Gas and Coal",OMV,Active,0.0
SAMPO A,M:SAMA,SAMPO.HE,12061989,1989,Equities,Helsinki,Finland,Euro,Non-life Insurance,Sampo A,Active,1.0
RAIFFEISEN BANK INTL.,O:RAI,RBIV.VI,25042005,2005,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Raiffeisen Bank International,Active,0.0
NESTE,M:NEST,NESTE.HE,18042005,2005,Equities,Helsinki,Finland,Euro,"Oil, Gas and Coal",Neste,Active,1.0
FORTUM,M:FORT,FORTUM.HE,18121998,1998,Equities,Helsinki,Finland,Euro,Electricity,Fortum,Active,1.0
MICHELIN,F:MCL,MICP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Automobiles and Parts,Michelin,Active,1.0
WARTSILA,M:WRT,WRT1V.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Engineering,Wartsila,Active,1.0
NOVOZYMES B,DK:NZY,NSISb.CO,16112000,2000,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Novozymes B,Active,1.0
CAPGEMINI,F:CAP,CAPP.PA,12061985,1985,Equities,Euronext.liffe Paris,France,Euro,Software and Computer Services,Capgemini,Active,1.0
BOUYGUES,F:ENT,BOUY.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Bouygues,Active,1.0
PUBLICIS GROUPE,F:PUB,PUBP.PA,4011988,1988,Equities,Euronext.liffe Paris,France,Euro,Media,Publicis Groupe,Active,1.0
PERNOD-RICARD,F:RCD,PERP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Beverages,Pernod-Ricard,Active,1.0
CSG A,H:CSGA,CSG.AS,23012026,2026,Equities,Euronext.liffe Amsterdam,Czech Republic,Euro,Aerospace and Defense,CSG A,Active,1.0
UNIBAIL RODAMCO WE STAPLED UNITS,F:UBL,URW.PA,29011974,1974,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Unibail Rodamco We Stapled Units,Active,1.0
IPSEN,F:IPN,IPN.PA,6122005,2005,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Ipsen,Active,1.0
RENAULT,F:RENU,RENA.PA,17111994,1994,Equities,Euronext.liffe Paris,France,Euro,Automobiles and Parts,Renault,Active,1.0
AIR FRANCE-KLM,F:UTA,AIRF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Air France-Koninklijke Luchtvaart Maatschappij,Active,1.0
AMER SPORTS,U:AS,AS,1022024,2024,Equities,NYSE,Finland,United States Dollar,Retailers,American Sports,Active,1.0
AMUNDI (WI),F:AMUN,AMUN.PA,11112015,2015,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Amundi (WI),Active,1.0
A P MOLLER MAERSK B,DK:DSB,MAERSKb.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,A P Moller Maersk B,Active,1.0
BAWAG GROUP,O:BWGP,BAWG.VI,25102017,2017,Equities,Vienna Stock Exchange,Austria,Euro,Banks,BAWAG Group,Active,0.0
EURONEXT,F:ENX,ENX.PA,19062014,2014,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Euronext,Active,1.0
VERBUND,O:VERB,VERB.VI,5121988,1988,Equities,Vienna Stock Exchange,Austria,Euro,Electricity,Verbund,Active,0.0
AGEAS (EX-FORTIS),B:AGS,AGES.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Life Insurance,Ageas (ex-Fortis),Active,0.0
BOLLORE,F:MATI,BOLL.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Media,Bollore,Active,1.0
CARLSBERG B,DK:CAB,CARLb.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Beverages,Carlsberg B,Active,1.0
ELIA GROUP,B:ELI,ELI.BR,20062005,2005,Equities,Euronext.liffe Brussels,Belgium,Euro,Electricity,Elia Group,Active,0.0
SARTORIUS STEDIM BIOTECH,F:DIM,STDM.PA,25101994,1994,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Sartorius Stedim Biotechnology,Active,1.0
CARREFOUR,F:CRFR,CARR.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Personal Care, Drug and Grocery Stores",Carrefour,Active,1.0
UPM-KYMMENE,M:UPM,UPM.HE,15011991,1991,Equities,Helsinki,Finland,Euro,Industrial Materials,UPM-Kymmene,Active,1.0
EIFFAGE,F:FGR,FOUG.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Eiffage,Active,1.0
GENMAB,DK:GEN,GMAB.CO,17102000,2000,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Genmab,Active,1.0
COLOPLAST B,DK:COL,COLOb.CO,6061983,1983,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Medical Equipment and Services,Coloplast B,Active,1.0
ASCENDIS PHARMA,@ASND,ASND.O,28012015,2015,Equities,NASDAQ,Denmark,United States Dollar,Pharmaceuticals and Biotechnology,Ascendis Pharma,Active,1.0
BUREAU VERITAS,F:BVI,BVI.PA,22102007,2007,Equities,Euronext.liffe Paris,France,Euro,Industrial Support Services,Bureau Veritas,Active,1.0
METSO CORPORATION,M:OTE1,METSO.HE,10102006,2006,Equities,Helsinki,Finland,Euro,Industrial Engineering,Metso Corporation,Active,1.0
TRYG,DK:TRY,TRYG.CO,13102005,2005,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Non-life Insurance,Tryg,Active,1.0
ACCOR,F:AC,ACCP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Accor,Active,1.0
ADP,F:ADP,ADP.PA,15062006,2006,Equities,Euronext.liffe Paris,France,Euro,Industrial Transportation,ADP,Active,1.0
GBL NEW,B:GBLN,GBLB.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Investment Banking and Brokerage Services,GBL New,Active,0.0
ACKERMANS & VAN HAAREN,B:ACK,ACKB.BR,2011986,1986,Equities,Euronext.liffe Brussels,Belgium,Euro,Construction and Materials,Ackermans and Van Haaren,Active,0.0
AL SYDBANK,DK:SYD,ALSYDB.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Al Sydbank,Active,1.0
COMPAGNIE DE L ODET,F:SEAU,ODET.PA,21091990,1990,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Compagnie de L Odet,Active,1.0
D IETEREN GROUP,B:DIE,IETB.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Automobiles and Parts,D Ieteren Group,Active,0.0
EUROFINS SCIEN.,F:EUF,EUFI.PA,27101997,1997,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Eurofins Scientific,Active,1.0
GETLINK,F:GET,GETP.PA,29062007,2007,Equities,Euronext.liffe Paris,France,Euro,Industrial Transportation,Getlink,Active,1.0
KLEPIERRE REIT,F:LI,LOIM.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Klepierre REIT,Active,1.0
REXEL,F:RXL,RXL.PA,4042007,2007,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Rexel,Active,1.0
STRABAG SE,O:STR,STRV.VI,19102007,2007,Equities,Vienna Stock Exchange,Austria,Euro,Construction and Materials,Strabag Securities,Active,0.0
JYSKE BANK,DK:JYS,JYSK.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Jyske Bank,Active,1.0
RINGKJOBING LANDBOBANK,DK:RIL,RILBA.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Ringkjobing Landbobank,Active,1.0
ABIVAX,F:ABVX,ABVX.PA,25062015,2015,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Abivax,Active,1.0
VIENNA INSURANCE GROUP A,O:WNST,VIGR.VI,17101994,1994,Equities,Vienna Stock Exchange,Austria,Euro,Non-life Insurance,Vienna Insurance Group A,Active,0.0
VIRBAC,F:VIRB,VIRB.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Virbac,Active,1.0
ANDRITZ,O:AND,ANDR.VI,22062001,2001,Equities,Vienna Stock Exchange,Austria,Euro,Industrial Engineering,Andritz,Active,0.0
AYVENS,F:ALD,AYV.PA,15062017,2017,Equities,Euronext.liffe Paris,France,Euro,Consumer Services,Ayvens,Active,1.0
BIOMERIEUX,F:BIM,BIOX.PA,6072004,2004,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Biomerieux,Active,1.0
KOMERCNI BANKA,CZ:KOM,BKOM.PR,21031994,1994,Equities,Prague,Czech Republic,Czech Koruna,Banks,Komercni Banka,Active,1.0
LOTUS BAKERIES,B:LBAK,LOTB.BR,20121988,1988,Equities,Euronext.liffe Brussels,Belgium,Euro,Food Producers,Lotus Bakeries,Active,0.0
ORION B,M:ORNB,ORNBV.HE,4011993,1993,Equities,Helsinki,Finland,Euro,Pharmaceuticals and Biotechnology,Orion B,Active,1.0
SOFINA,B:SOF,SOF.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Investment Banking and Brokerage Services,Sofina,Active,0.0
SPIE,F:SPIE,SPIE.PA,9062015,2015,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Spie,Active,1.0
VOESTALPINE,O:VAS,VOES.VI,9101995,1995,Equities,Vienna Stock Exchange,Austria,Euro,Industrial Metals and Mining,Voestalpine,Active,0.0
ALSTOM,F:ALOT,ALSO.PA,19061998,1998,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Alstom,Active,1.0
GTT,F:GTT,GTT.PA,26022014,2014,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",GTT,Active,1.0
TUBIZE FINANCIERE,B:OBO,TUB.BR,2011986,1986,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,Tubize Financiere,Active,0.0
AEDIFICA,B:AEDI,AOO.BR,23102006,2006,Equities,Euronext.liffe Brussels,Belgium,Euro,Real Estate Investment Trusts,Aedifica,Active,0.0
ARKEMA,F:AKE,AKE.PA,18052006,2006,Equities,Euronext.liffe Paris,France,Euro,Chemicals,Arkema,Active,1.0
NEXANS,F:NXS,NEXS.PA,12062001,2001,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Nexans,Active,1.0
PANDORA,DK:PND,PNDORA.CO,5102010,2010,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Personal Goods,Pandora,Active,1.0
SODEXO,F:SDX,EXHO.PA,15041983,1983,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Sodexo,Active,1.0
SOITEC,F:SOI,SOIT.PA,8021999,1999,Equities,Euronext.liffe Paris,France,Euro,Technology Hardware and Equipment,Soitec,Active,1.0
SYENSQO,B:SYEN,SYENS.BR,11122023,2023,Equities,Euronext.liffe Brussels,Belgium,Euro,Industrial Materials,Syensqo,Active,0.0
ZAGREBACKA BANKA SER A,CR:ZAA,ZBB.ZA,3102005,2005,Equities,Zagreb,Croatia,Euro,Banks,Zagrebacka Banka SER A,Active,1.0
ALK-ABELLO B,DK:ALK,ALKb.CO,3121979,1979,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,ALK-Abello B,Active,1.0
BANK OF CYPRUS HOLDING,CP:BNC,BOCH.CY,19012017,2017,Equities,Cyprus,Cyprus,Euro,Banks,Bank of Cyprus Holding,Active,1.0
CAMBODGE (CIE DU),F:CAMB,CCAP.PA,19041989,1989,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Cambodge (Compagnie du),Active,1.0
CENERGY HOLDINGS,B:CENE,CENER.BR,20122016,2016,Equities,Euronext.liffe Brussels,Belgium,Euro,Electronic and Electrical Equipment,Cenergy Holdings,Active,0.0
COVIVIO,F:GARA,CVO.PA,8071988,1988,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Covivio,Active,1.0
DEMANT,DK:WDH,DEMANT.CO,11051995,1995,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Medical Equipment and Services,Demant,Active,1.0
DEME GROUP,B:DEMG,DEME.BR,30062022,2022,Equities,Euronext.liffe Brussels,Belgium,Euro,Construction and Materials,Deme Group,Active,0.0
EDENRED,F:EDEN,EDEN.PA,1072010,2010,Equities,Euronext.liffe Paris,France,Euro,Industrial Support Services,Edenred,Active,1.0
ELIS,F:ELIS,ELIS.PA,10022015,2015,Equities,Euronext.liffe Paris,France,Euro,Industrial Support Services,Elis,Active,1.0
EVN,O:EVN,EVNV.VI,27111989,1989,Equities,Vienna Stock Exchange,Austria,Euro,"Gas, Water and Multi-utilities",EVN,Active,0.0
FACC AG,O:FACC,FACC.VI,25062014,2014,Equities,Vienna Stock Exchange,Austria,Euro,Aerospace and Defense,Facc AG,Active,0.0
FDJ UNITED,F:LFDJ,FDJU.PA,21112019,2019,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,FDJ United,Active,1.0
FLUGHAFEN WIEN,O:FLU,VIEV.VI,15061992,1992,Equities,Vienna Stock Exchange,Austria,Euro,Industrial Transportation,Flughafen Wien,Active,0.0
GECINA,F:GFC,GFCP.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Gecina,Active,1.0
INA INDUSTRIJA NAFTE,CR:INA,INAI.ZA,1122006,2006,Equities,Zagreb,Croatia,Euro,"Oil, Gas and Coal",INA Industrija Nafte,Active,1.0
ISS,DK:ISS,ISS.CO,13032014,2014,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Support Services,ISS,Active,1.0
KBC ANCORA,B:KBCA,KBCA.BR,4042001,2001,Equities,Euronext.liffe Brussels,Belgium,Euro,Banks,KBC Ancora,Active,0.0
KESKO B,M:KESK,KESKOB.HE,25031988,1988,Equities,Helsinki,Finland,Euro,"Personal Care, Drug and Grocery Stores",Kesko B,Active,1.0
KOBENHAVNS LUFTHAVNE,DK:KOB,KBHL.CO,25041994,1994,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,Kobenhavns Lufthavne,Active,1.0
LDC,F:LOUP,LOUP.PA,23111995,1995,Equities,Euronext.liffe Paris,France,Euro,Food Producers,LDC,Active,1.0
OBERBANK,O:OBER,OBER.VI,1071986,1986,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Oberbank,Active,0.0
SCOR SE,F:SCO,SCOR.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Non-life Insurance,SCOR Securities,Active,1.0
STORA ENSO R,M:EGR,STERV.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Materials,Stora Enso R,Active,1.0
TECHNIP ENERGIES,F:TECE,TE.PA,16022021,2021,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",Technip Energies,Active,1.0
UMICORE,B:UMI,UMI.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Chemicals,Umicore,Active,0.0
UNIQA INSU GR AG,O:UNIQ,UNIQ.VI,8111999,1999,Equities,Vienna Stock Exchange,Austria,Euro,Non-life Insurance,Uniqa Insu Gross AG,Active,0.0
VALMET,M:VALM,VALMT.HE,2012014,2014,Equities,Helsinki,Finland,Euro,Industrial Engineering,Valmet,Active,1.0
COLRUYT GROUP,B:COL,COLR.BR,5011981,1981,Equities,Euronext.liffe Brussels,Belgium,Euro,"Personal Care, Drug and Grocery Stores",Colruyt Group,Active,0.0
ELISA,M:ELIS,ELISA.HE,1071999,1999,Equities,Helsinki,Finland,Euro,Telecommunications Service Providers,Elisa,Active,1.0
FINNAIR,M:FNNA,FIA1S.HE,17081990,1990,Equities,Helsinki,Finland,Euro,Travel and Leisure,Finnair,Active,1.0
JCDECAUX,F:DEC,JCDX.PA,21062001,2001,Equities,Euronext.liffe Paris,France,Euro,Media,Jcdecaux,Active,1.0
KONECRANES,M:KCR1,KCRA.HE,1041996,1996,Equities,Helsinki,Finland,Euro,Industrial Transportation,Konecranes,Active,1.0
NKT,DK:NKT,NKT.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Electronic and Electrical Equipment,NKT,Active,1.0
SJF BANK,DK:SPK,SJF.CO,4122015,2015,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,SJF Bank,Active,1.0
TELEKOM AUSTRIA,O:TKA,TELA.VI,20112000,2000,Equities,Vienna Stock Exchange,Austria,Euro,Telecommunications Service Providers,Telekom Austria,Active,0.0
VALLOUREC,F:VLR,VLLP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",Vallourec,Active,1.0
WAREHOUSES DE PAUW,B:WDP,WDPP.BR,25061999,1999,Equities,Euronext.liffe Brussels,Belgium,Euro,Real Estate Investment Trusts,Warehouses de Pauw,Active,0.0
ARTOIS INDFIN.DE L'ARTO.,F:ART,ARTO.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Finance and Credit Services,Artois Industrielle et Financier de l'Artois,Active,1.0
AT&S AU.TCHG.& SYSTK.,D:AUS,ATSV.F,15071999,1999,Equities,Deutsche Boerse AG,Austria,Euro,Technology Hardware and Equipment,At&S Austria Technologie and Systemtechnik,Active,0.0
BREDERODE,B:BREB,BRED.BR,2011986,1986,Equities,Euronext.liffe Brussels,Belgium,Euro,Investment Banking and Brokerage Services,Brederode,Active,0.0
CMB TECH,B:EURN,CMBT.BR,1122004,2004,Equities,Euronext.liffe Brussels,Belgium,Euro,Industrial Transportation,CMB Technology,Active,0.0
COFACE,F:COFA,COFA.PA,26062014,2014,Equities,Euronext.liffe Paris,France,Euro,Non-life Insurance,Coface,Active,1.0
COLT CZ GROUP,CZ:CZG,COLT.PR,2102020,2020,Equities,Prague,Czech Republic,Czech Koruna,Aerospace and Defense,Colt CZ Group,Active,1.0
HRVATSKI TELEKOM,CR:HTH,HT.ZA,5102007,2007,Equities,Zagreb,Croatia,Euro,Telecommunications Service Providers,Hrvatski Telekom,Active,1.0
HUHTAMAKI,M:HUIF,HUH1V.HE,25031988,1988,Equities,Helsinki,Finland,Euro,General Industrials,Huhtamaki,Active,1.0
KALMAR CORPORATION B,M:KALC,KALMAR.HE,1072024,2024,Equities,Helsinki,Finland,Euro,Industrial Engineering,Kalmar Corporation B,Active,1.0
KEMIRA,M:KEMR,KEMIRA.HE,10111994,1994,Equities,Helsinki,Finland,Euro,Chemicals,Kemira,Active,1.0
MONETA MONEY BANK,CZ:MMB,MONET.PR,10052016,2016,Equities,Prague,Czech Republic,Czech Koruna,Banks,Moneta Money Bank,Active,1.0
MONS BANK,DK:MOB,MNBA.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Mons Bank,Active,1.0
PROXIMUS,B:PROX,PROX.BR,19032004,2004,Equities,Euronext.liffe Brussels,Belgium,Euro,Telecommunications Service Providers,Proximus,Active,0.0
ROYAL UNIBREW,DK:RBR,RBREW.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Beverages,Royal Unibrew,Active,1.0
SCHOUW AND,DK:SCB,SCHO.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,General Industrials,Schouw and,Active,1.0
SEB,F:SEB,SEBF.PA,10061975,1975,Equities,Euronext.liffe Paris,France,Euro,Household Goods and Home Construction,SEB,Active,1.0
TITAN AMERICA,U:TTAM,TTAM.K,7022025,2025,Equities,NYSE,Belgium,United States Dollar,Construction and Materials,Titan America,Active,0.0
ALTAREA,F:SOMC,IMAF.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Altarea,Active,1.0
AROUNDTOWN,D:AT1,AT1.F,16102015,2015,Equities,Deutsche Boerse AG,France,Euro,Real Estate Investment and Services,Aroundtown,Active,1.0
BAINS MER MONACO,F:BMN,BAIN.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Bains Merchant Monaco,Active,1.0
BTV VIER LANDER BANK AG,O:TYRO,BTS.VI,1071986,1986,Equities,Vienna Stock Exchange,Austria,Euro,Banks,BTV Vier Lander Bank AG,Active,0.0
CANAL+ SA,CAN,CAN.L,13122024,2024,Equities,London,France,United Kingdom Pound,Media,Canal + SA,Active,1.0
CARMILA,F:CARM,CARM.PA,2111999,1999,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Carmila,Active,1.0
COFINIMMO,B:COFN,COFB.BR,16121994,1994,Equities,Euronext.liffe Brussels,Belgium,Euro,Real Estate Investment Trusts,Cofinimmo,Active,0.0
EMEIS,F:ORP,EMEIS.PA,17042002,2002,Equities,Euronext.liffe Paris,France,Euro,Health Care Providers,Emeis,Active,1.0
