Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
LVMH,F:LVMH,LVMH.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,LVMH,Active
L'OREAL,F:OR@F,OREP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,l'Oreal,Active
TOTALENERGIES,F:FP,TTEF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",Totalenergies,Active
HERMES INTL.,F:RMS,HRMS.PA,3061993,1993,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Hermes International,Active
SCHNEIDER ELECTRIC,F:QT@F,SCHN.PA,18091981,1981,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Schneider Electric,Active
AIRBUS,F:AIRS,AIR.PA,10072000,2000,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Airbus,Active
NOVO NORDISK 'B',DK:NON,NOVOb.CO,14051974,1974,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Novo Nordisk 'B',Active
ANHEUSER-BUSCH INBEV,B:ABI,ABI.BR,30112000,2000,Equities,Euronext.liffe Brussels,Belgium,Euro,Beverages,Anheuser-Busch Inbev,Active
SAFRAN,F:SGM,SAF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Safran,Active
BNP PARIBAS,F:BNP,BNPP.PA,18101993,1993,Equities,Euronext.liffe Paris,France,Euro,Banks,Banque Nationale de Paris Paribas,Active
SANOFI,F:SQ@F,SASY.PA,21071980,1980,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Sanofi,Active
L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,F:AIR,AIRP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Chemicals,L Air LQE Societe Anonyme Pour L Etude et L Epxtn,Active
AXA,F:MIDI,AXAF.PA,27091977,1977,Equities,Euronext.liffe Paris,France,Euro,Non-life Insurance,AXA,Active
ESSILORLUXOTTICA,F:EI,ESLX.PA,28101975,1975,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Essilorluxottica,Active
ENGIE,F:ENGI,ENGIE.PA,7072005,2005,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Engie,Active
VINCI,F:DG@F,SGEF.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Vinci,Active
CHRISTIAN DIOR,F:CDI,DIOR.PA,4121991,1991,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Christian Dior,Active
NOKIA,M:NOK1,NOKIA.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Telecommunications Equipment,Nokia,Active
NORDEA BANK,M:NBH,NDAFI.HE,31012000,2000,Equities,Helsinki,Finland,Euro,Banks,Nordea Bank,Active
STMICROELECTRONICS,F:STM,STMPA.PA,8121994,1994,Equities,Euronext.liffe Paris,France,Euro,Technology Hardware and Equipment,Stmicroelectronics,Active
SOCIETE GENERALE,F:SGE,SOGN.PA,8071987,1987,Equities,Euronext.liffe Paris,France,Euro,Banks,Societe Generale,Active
CREDIT AGRICOLE,F:CRDA,CAGR.PA,13122001,2001,Equities,Euronext.liffe Paris,France,Euro,Banks,Credit Agricole,Active
THALES,F:CSF,TCFP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Thales,Active
DANONE,F:BSN,DANO.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Food Producers,Danone,Active
DSV,DK:DSV,DSV.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,DSV,Active
ORANGE,F:ORA,ORAN.PA,17101997,1997,Equities,Euronext.liffe Paris,France,Euro,Telecommunications Service Providers,Orange,Active
KBC GROUP,B:KB,KBC.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Banks,KBC Group,Active
UCB,B:UCB,UCB.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,UCB,Active
ERSTE GROUP BANK,O:ERS,ERST.VI,4121997,1997,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Erste Group Bank,Active
DANSKE BANK,DK:DAB,DANSKE.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Danske Bank,Active
ARGENX,B:ARGX,ARGX.BR,9072014,2014,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,Argenx,Active
LEGRAND,F:LRRS,LEGD.PA,6042006,2006,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Legrand,Active
SAINT GOBAIN,F:SGO,SGOB.PA,23121986,1986,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Saint Gobain,Active
OERSTED,DK:DEN,ORSTED.CO,9062016,2016,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Electricity,Oersted,Active
VEOLIA ENVIRON,F:VIE,VIE.PA,18072000,2000,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Veolia Environ,Active
DASSAULT SYSTEMES,F:DSY,DAST.PA,28061996,1996,Equities,Euronext.liffe Paris,France,Euro,Software and Computer Services,Dassault Systemes,Active
KERING,F:KER,PRTP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Personal Goods,Kering,Active
VESTAS WINDSYSTEMS,DK:VEW,VWS.CO,30041998,1998,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Alternative Energy,Vestas Windsystems,Active
CEZ,CZ:CEZ,CEZP.PR,2111993,1993,Equities,Prague,Czech Republic,Czech Koruna,Electricity,CEZ,Active
DASSAULT AVIATION,F:AM@F,AM.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Dassault Aviation,Active
KONE B,M:KNEBV,KNEBV.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Engineering,Kone B,Active
OMV,O:OMV,OMVV.VI,2121987,1987,Equities,Vienna Stock Exchange,Austria,Euro,"Oil, Gas and Coal",OMV,Active
SAMPO A,M:SAMA,SAMPO.HE,12061989,1989,Equities,Helsinki,Finland,Euro,Non-life Insurance,Sampo A,Active
RAIFFEISEN BANK INTL.,O:RAI,RBIV.VI,25042005,2005,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Raiffeisen Bank International,Active
NESTE,M:NEST,NESTE.HE,18042005,2005,Equities,Helsinki,Finland,Euro,"Oil, Gas and Coal",Neste,Active
FORTUM,M:FORT,FORTUM.HE,18121998,1998,Equities,Helsinki,Finland,Euro,Electricity,Fortum,Active
MICHELIN,F:MCL,MICP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Automobiles and Parts,Michelin,Active
WARTSILA,M:WRT,WRT1V.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Engineering,Wartsila,Active
NOVOZYMES B,DK:NZY,NSISb.CO,16112000,2000,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Novozymes B,Active
CAPGEMINI,F:CAP,CAPP.PA,12061985,1985,Equities,Euronext.liffe Paris,France,Euro,Software and Computer Services,Capgemini,Active
BOUYGUES,F:ENT,BOUY.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Bouygues,Active
PUBLICIS GROUPE,F:PUB,PUBP.PA,4011988,1988,Equities,Euronext.liffe Paris,France,Euro,Media,Publicis Groupe,Active
PERNOD-RICARD,F:RCD,PERP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Beverages,Pernod-Ricard,Active
CSG A,H:CSGA,CSG.AS,23012026,2026,Equities,Euronext.liffe Amsterdam,Czech Republic,Euro,Aerospace and Defense,CSG A,Active
UNIBAIL RODAMCO WE STAPLED UNITS,F:UBL,URW.PA,29011974,1974,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Unibail Rodamco We Stapled Units,Active
IPSEN,F:IPN,IPN.PA,6122005,2005,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Ipsen,Active
RENAULT,F:RENU,RENA.PA,17111994,1994,Equities,Euronext.liffe Paris,France,Euro,Automobiles and Parts,Renault,Active
AIR FRANCE-KLM,F:UTA,AIRF.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Air France-Koninklijke Luchtvaart Maatschappij,Active
AMER SPORTS,U:AS,AS,1022024,2024,Equities,NYSE,Finland,United States Dollar,Retailers,American Sports,Active
AMUNDI (WI),F:AMUN,AMUN.PA,11112015,2015,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Amundi (WI),Active
A P MOLLER MAERSK B,DK:DSB,MAERSKb.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,A P Moller Maersk B,Active
BAWAG GROUP,O:BWGP,BAWG.VI,25102017,2017,Equities,Vienna Stock Exchange,Austria,Euro,Banks,BAWAG Group,Active
EURONEXT,F:ENX,ENX.PA,19062014,2014,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Euronext,Active
VERBUND,O:VERB,VERB.VI,5121988,1988,Equities,Vienna Stock Exchange,Austria,Euro,Electricity,Verbund,Active
AGEAS (EX-FORTIS),B:AGS,AGES.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Life Insurance,Ageas (ex-Fortis),Active
BOLLORE,F:MATI,BOLL.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Media,Bollore,Active
CARLSBERG B,DK:CAB,CARLb.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Beverages,Carlsberg B,Active
ELIA GROUP,B:ELI,ELI.BR,20062005,2005,Equities,Euronext.liffe Brussels,Belgium,Euro,Electricity,Elia Group,Active
SARTORIUS STEDIM BIOTECH,F:DIM,STDM.PA,25101994,1994,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Sartorius Stedim Biotechnology,Active
CARREFOUR,F:CRFR,CARR.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Personal Care, Drug and Grocery Stores",Carrefour,Active
UPM-KYMMENE,M:UPM,UPM.HE,15011991,1991,Equities,Helsinki,Finland,Euro,Industrial Materials,UPM-Kymmene,Active
EIFFAGE,F:FGR,FOUG.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Eiffage,Active
GENMAB,DK:GEN,GMAB.CO,17102000,2000,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,Genmab,Active
COLOPLAST B,DK:COL,COLOb.CO,6061983,1983,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Medical Equipment and Services,Coloplast B,Active
ASCENDIS PHARMA,@ASND,ASND.O,28012015,2015,Equities,NASDAQ,Denmark,United States Dollar,Pharmaceuticals and Biotechnology,Ascendis Pharma,Active
BUREAU VERITAS,F:BVI,BVI.PA,22102007,2007,Equities,Euronext.liffe Paris,France,Euro,Industrial Support Services,Bureau Veritas,Active
METSO CORPORATION,M:OTE1,METSO.HE,10102006,2006,Equities,Helsinki,Finland,Euro,Industrial Engineering,Metso Corporation,Active
TRYG,DK:TRY,TRYG.CO,13102005,2005,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Non-life Insurance,Tryg,Active
ACCOR,F:AC,ACCP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Accor,Active
ADP,F:ADP,ADP.PA,15062006,2006,Equities,Euronext.liffe Paris,France,Euro,Industrial Transportation,ADP,Active
GBL NEW,B:GBLN,GBLB.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Investment Banking and Brokerage Services,GBL New,Active
ACKERMANS & VAN HAAREN,B:ACK,ACKB.BR,2011986,1986,Equities,Euronext.liffe Brussels,Belgium,Euro,Construction and Materials,Ackermans and Van Haaren,Active
AL SYDBANK,DK:SYD,ALSYDB.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Al Sydbank,Active
COMPAGNIE DE L ODET,F:SEAU,ODET.PA,21091990,1990,Equities,Euronext.liffe Paris,France,Euro,"Gas, Water and Multi-utilities",Compagnie de L Odet,Active
D IETEREN GROUP,B:DIE,IETB.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Automobiles and Parts,D Ieteren Group,Active
EUROFINS SCIEN.,F:EUF,EUFI.PA,27101997,1997,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Eurofins Scientific,Active
GETLINK,F:GET,GETP.PA,29062007,2007,Equities,Euronext.liffe Paris,France,Euro,Industrial Transportation,Getlink,Active
KLEPIERRE REIT,F:LI,LOIM.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Klepierre REIT,Active
REXEL,F:RXL,RXL.PA,4042007,2007,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Rexel,Active
STRABAG SE,O:STR,STRV.VI,19102007,2007,Equities,Vienna Stock Exchange,Austria,Euro,Construction and Materials,Strabag Securities,Active
JYSKE BANK,DK:JYS,JYSK.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Jyske Bank,Active
RINGKJOBING LANDBOBANK,DK:RIL,RILBA.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Ringkjobing Landbobank,Active
ABIVAX,F:ABVX,ABVX.PA,25062015,2015,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Abivax,Active
VIENNA INSURANCE GROUP A,O:WNST,VIGR.VI,17101994,1994,Equities,Vienna Stock Exchange,Austria,Euro,Non-life Insurance,Vienna Insurance Group A,Active
VIRBAC,F:VIRB,VIRB.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Pharmaceuticals and Biotechnology,Virbac,Active
ANDRITZ,O:AND,ANDR.VI,22062001,2001,Equities,Vienna Stock Exchange,Austria,Euro,Industrial Engineering,Andritz,Active
AYVENS,F:ALD,AYV.PA,15062017,2017,Equities,Euronext.liffe Paris,France,Euro,Consumer Services,Ayvens,Active
BIOMERIEUX,F:BIM,BIOX.PA,6072004,2004,Equities,Euronext.liffe Paris,France,Euro,Medical Equipment and Services,Biomerieux,Active
KOMERCNI BANKA,CZ:KOM,BKOM.PR,21031994,1994,Equities,Prague,Czech Republic,Czech Koruna,Banks,Komercni Banka,Active
LOTUS BAKERIES,B:LBAK,LOTB.BR,20121988,1988,Equities,Euronext.liffe Brussels,Belgium,Euro,Food Producers,Lotus Bakeries,Active
ORION B,M:ORNB,ORNBV.HE,4011993,1993,Equities,Helsinki,Finland,Euro,Pharmaceuticals and Biotechnology,Orion B,Active
SOFINA,B:SOF,SOF.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Investment Banking and Brokerage Services,Sofina,Active
SPIE,F:SPIE,SPIE.PA,9062015,2015,Equities,Euronext.liffe Paris,France,Euro,Construction and Materials,Spie,Active
VOESTALPINE,O:VAS,VOES.VI,9101995,1995,Equities,Vienna Stock Exchange,Austria,Euro,Industrial Metals and Mining,Voestalpine,Active
ALSTOM,F:ALOT,ALSO.PA,19061998,1998,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Alstom,Active
GTT,F:GTT,GTT.PA,26022014,2014,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",GTT,Active
TUBIZE FINANCIERE,B:OBO,TUB.BR,2011986,1986,Equities,Euronext.liffe Brussels,Belgium,Euro,Pharmaceuticals and Biotechnology,Tubize Financiere,Active
AEDIFICA,B:AEDI,AOO.BR,23102006,2006,Equities,Euronext.liffe Brussels,Belgium,Euro,Real Estate Investment Trusts,Aedifica,Active
ARKEMA,F:AKE,AKE.PA,18052006,2006,Equities,Euronext.liffe Paris,France,Euro,Chemicals,Arkema,Active
NEXANS,F:NXS,NEXS.PA,12062001,2001,Equities,Euronext.liffe Paris,France,Euro,Electronic and Electrical Equipment,Nexans,Active
PANDORA,DK:PND,PNDORA.CO,5102010,2010,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Personal Goods,Pandora,Active
SODEXO,F:SDX,EXHO.PA,15041983,1983,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Sodexo,Active
SOITEC,F:SOI,SOIT.PA,8021999,1999,Equities,Euronext.liffe Paris,France,Euro,Technology Hardware and Equipment,Soitec,Active
SYENSQO,B:SYEN,SYENS.BR,11122023,2023,Equities,Euronext.liffe Brussels,Belgium,Euro,Industrial Materials,Syensqo,Active
ZAGREBACKA BANKA SER A,CR:ZAA,ZBB.ZA,3102005,2005,Equities,Zagreb,Croatia,Euro,Banks,Zagrebacka Banka SER A,Active
ALK-ABELLO B,DK:ALK,ALKb.CO,3121979,1979,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Pharmaceuticals and Biotechnology,ALK-Abello B,Active
BANK OF CYPRUS HOLDING,CP:BNC,BOCH.CY,19012017,2017,Equities,Cyprus,Cyprus,Euro,Banks,Bank of Cyprus Holding,Active
CAMBODGE (CIE DU),F:CAMB,CCAP.PA,19041989,1989,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Cambodge (Compagnie du),Active
CENERGY HOLDINGS,B:CENE,CENER.BR,20122016,2016,Equities,Euronext.liffe Brussels,Belgium,Euro,Electronic and Electrical Equipment,Cenergy Holdings,Active
COVIVIO,F:GARA,CVO.PA,8071988,1988,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Covivio,Active
DEMANT,DK:WDH,DEMANT.CO,11051995,1995,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Medical Equipment and Services,Demant,Active
DEME GROUP,B:DEMG,DEME.BR,30062022,2022,Equities,Euronext.liffe Brussels,Belgium,Euro,Construction and Materials,Deme Group,Active
EDENRED,F:EDEN,EDEN.PA,1072010,2010,Equities,Euronext.liffe Paris,France,Euro,Industrial Support Services,Edenred,Active
ELIS,F:ELIS,ELIS.PA,10022015,2015,Equities,Euronext.liffe Paris,France,Euro,Industrial Support Services,Elis,Active
EVN,O:EVN,EVNV.VI,27111989,1989,Equities,Vienna Stock Exchange,Austria,Euro,"Gas, Water and Multi-utilities",EVN,Active
FACC AG,O:FACC,FACC.VI,25062014,2014,Equities,Vienna Stock Exchange,Austria,Euro,Aerospace and Defense,Facc AG,Active
FDJ UNITED,F:LFDJ,FDJU.PA,21112019,2019,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,FDJ United,Active
FLUGHAFEN WIEN,O:FLU,VIEV.VI,15061992,1992,Equities,Vienna Stock Exchange,Austria,Euro,Industrial Transportation,Flughafen Wien,Active
GECINA,F:GFC,GFCP.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Gecina,Active
INA INDUSTRIJA NAFTE,CR:INA,INAI.ZA,1122006,2006,Equities,Zagreb,Croatia,Euro,"Oil, Gas and Coal",INA Industrija Nafte,Active
ISS,DK:ISS,ISS.CO,13032014,2014,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Support Services,ISS,Active
KBC ANCORA,B:KBCA,KBCA.BR,4042001,2001,Equities,Euronext.liffe Brussels,Belgium,Euro,Banks,KBC Ancora,Active
KESKO B,M:KESK,KESKOB.HE,25031988,1988,Equities,Helsinki,Finland,Euro,"Personal Care, Drug and Grocery Stores",Kesko B,Active
KOBENHAVNS LUFTHAVNE,DK:KOB,KBHL.CO,25041994,1994,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Industrial Transportation,Kobenhavns Lufthavne,Active
LDC,F:LOUP,LOUP.PA,23111995,1995,Equities,Euronext.liffe Paris,France,Euro,Food Producers,LDC,Active
OBERBANK,O:OBER,OBER.VI,1071986,1986,Equities,Vienna Stock Exchange,Austria,Euro,Banks,Oberbank,Active
SCOR SE,F:SCO,SCOR.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Non-life Insurance,SCOR Securities,Active
STORA ENSO R,M:EGR,STERV.HE,25031988,1988,Equities,Helsinki,Finland,Euro,Industrial Materials,Stora Enso R,Active
TECHNIP ENERGIES,F:TECE,TE.PA,16022021,2021,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",Technip Energies,Active
UMICORE,B:UMI,UMI.BR,1011973,1973,Equities,Euronext.liffe Brussels,Belgium,Euro,Chemicals,Umicore,Active
UNIQA INSU GR AG,O:UNIQ,UNIQ.VI,8111999,1999,Equities,Vienna Stock Exchange,Austria,Euro,Non-life Insurance,Uniqa Insu Gross AG,Active
VALMET,M:VALM,VALMT.HE,2012014,2014,Equities,Helsinki,Finland,Euro,Industrial Engineering,Valmet,Active
COLRUYT GROUP,B:COL,COLR.BR,5011981,1981,Equities,Euronext.liffe Brussels,Belgium,Euro,"Personal Care, Drug and Grocery Stores",Colruyt Group,Active
ELISA,M:ELIS,ELISA.HE,1071999,1999,Equities,Helsinki,Finland,Euro,Telecommunications Service Providers,Elisa,Active
FINNAIR,M:FNNA,FIA1S.HE,17081990,1990,Equities,Helsinki,Finland,Euro,Travel and Leisure,Finnair,Active
JCDECAUX,F:DEC,JCDX.PA,21062001,2001,Equities,Euronext.liffe Paris,France,Euro,Media,Jcdecaux,Active
KONECRANES,M:KCR1,KCRA.HE,1041996,1996,Equities,Helsinki,Finland,Euro,Industrial Transportation,Konecranes,Active
NKT,DK:NKT,NKT.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Electronic and Electrical Equipment,NKT,Active
SJF BANK,DK:SPK,SJF.CO,4122015,2015,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,SJF Bank,Active
TELEKOM AUSTRIA,O:TKA,TELA.VI,20112000,2000,Equities,Vienna Stock Exchange,Austria,Euro,Telecommunications Service Providers,Telekom Austria,Active
VALLOUREC,F:VLR,VLLP.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,"Oil, Gas and Coal",Vallourec,Active
WAREHOUSES DE PAUW,B:WDP,WDPP.BR,25061999,1999,Equities,Euronext.liffe Brussels,Belgium,Euro,Real Estate Investment Trusts,Warehouses de Pauw,Active
ARTOIS INDFIN.DE L'ARTO.,F:ART,ARTO.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Finance and Credit Services,Artois Industrielle et Financier de l'Artois,Active
AT&S AU.TCHG.& SYSTK.,D:AUS,ATSV.F,15071999,1999,Equities,Deutsche Boerse AG,Austria,Euro,Technology Hardware and Equipment,At&S Austria Technologie and Systemtechnik,Active
BREDERODE,B:BREB,BRED.BR,2011986,1986,Equities,Euronext.liffe Brussels,Belgium,Euro,Investment Banking and Brokerage Services,Brederode,Active
CMB TECH,B:EURN,CMBT.BR,1122004,2004,Equities,Euronext.liffe Brussels,Belgium,Euro,Industrial Transportation,CMB Technology,Active
COFACE,F:COFA,COFA.PA,26062014,2014,Equities,Euronext.liffe Paris,France,Euro,Non-life Insurance,Coface,Active
COLT CZ GROUP,CZ:CZG,COLT.PR,2102020,2020,Equities,Prague,Czech Republic,Czech Koruna,Aerospace and Defense,Colt CZ Group,Active
HRVATSKI TELEKOM,CR:HTH,HT.ZA,5102007,2007,Equities,Zagreb,Croatia,Euro,Telecommunications Service Providers,Hrvatski Telekom,Active
HUHTAMAKI,M:HUIF,HUH1V.HE,25031988,1988,Equities,Helsinki,Finland,Euro,General Industrials,Huhtamaki,Active
KALMAR CORPORATION B,M:KALC,KALMAR.HE,1072024,2024,Equities,Helsinki,Finland,Euro,Industrial Engineering,Kalmar Corporation B,Active
KEMIRA,M:KEMR,KEMIRA.HE,10111994,1994,Equities,Helsinki,Finland,Euro,Chemicals,Kemira,Active
MONETA MONEY BANK,CZ:MMB,MONET.PR,10052016,2016,Equities,Prague,Czech Republic,Czech Koruna,Banks,Moneta Money Bank,Active
MONS BANK,DK:MOB,MNBA.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Mons Bank,Active
PROXIMUS,B:PROX,PROX.BR,19032004,2004,Equities,Euronext.liffe Brussels,Belgium,Euro,Telecommunications Service Providers,Proximus,Active
ROYAL UNIBREW,DK:RBR,RBREW.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Beverages,Royal Unibrew,Active
SCHOUW AND,DK:SCB,SCHO.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,General Industrials,Schouw and,Active
SEB,F:SEB,SEBF.PA,10061975,1975,Equities,Euronext.liffe Paris,France,Euro,Household Goods and Home Construction,SEB,Active
TITAN AMERICA,U:TTAM,TTAM.K,7022025,2025,Equities,NYSE,Belgium,United States Dollar,Construction and Materials,Titan America,Active
ALTAREA,F:SOMC,IMAF.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Altarea,Active
AROUNDTOWN,D:AT1,AT1.F,16102015,2015,Equities,Deutsche Boerse AG,France,Euro,Real Estate Investment and Services,Aroundtown,Active
BAINS MER MONACO,F:BMN,BAIN.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Travel and Leisure,Bains Merchant Monaco,Active
BTV VIER LANDER BANK AG,O:TYRO,BTS.VI,1071986,1986,Equities,Vienna Stock Exchange,Austria,Euro,Banks,BTV Vier Lander Bank AG,Active
CANAL+ SA,CAN,CAN.L,13122024,2024,Equities,London,France,United Kingdom Pound,Media,Canal + SA,Active
CARMILA,F:CARM,CARM.PA,2111999,1999,Equities,Euronext.liffe Paris,France,Euro,Real Estate Investment Trusts,Carmila,Active
COFINIMMO,B:COFN,COFB.BR,16121994,1994,Equities,Euronext.liffe Brussels,Belgium,Euro,Real Estate Investment Trusts,Cofinimmo,Active
EMEIS,F:ORP,EMEIS.PA,17042002,2002,Equities,Euronext.liffe Paris,France,Euro,Health Care Providers,Emeis,Active
EURAZEO,F:ERF,EURA.PA,1011973,1973,Equities,Euronext.liffe Paris,France,Euro,Investment Banking and Brokerage Services,Eurazeo,Active
EUTELSAT COMMUNICATIONS,F:ETL,ETL.PA,2122005,2005,Equities,Euronext.liffe Paris,France,Euro,Telecommunications Equipment,Eutelsat Communications,Active
FLSMIDTH AND B,DK:FLB,FLS.CO,1011973,1973,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Construction and Materials,Flsmidth and B,Active
HIAB CORPORATION B,M:CGCB,HIAB.HE,1062005,2005,Equities,Helsinki,Finland,Euro,Industrial Engineering,Hiab Corporation B,Active
LAGARDERE GROUPE,F:MMB,LAGA.PA,18041989,1989,Equities,Euronext.liffe Paris,France,Euro,Media,Lagardere Groupe,Active
LISI,F:FII,GFII.PA,3071989,1989,Equities,Euronext.liffe Paris,France,Euro,Aerospace and Defense,Lisi,Active
LOLLANDS BANK,DK:LOL,LOLB.CO,5041988,1988,Equities,OMX Nordic Exchange Copenhagen,Denmark,Danish Krone,Banks,Lollands Bank,Active
MANDATUM,M:MAND,MANTA.HE,2102023,2023,Equities,Helsinki,Finland,Euro,Investment Banking and Brokerage Services,Mandatum,Active
MELEXIS,B:MELE,MLXS.BR,17052002,2002,Equities,Euronext.liffe Brussels,Belgium,Euro,Technology Hardware and Equipment,Melexis,Active
