Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity
MME MOVIEMENT (XET),D:MMEX,MMEG.DE^H15,17112000,2000,Equities,Xetra,Germany,Euro,Media,MME Moviement (XETRA),Dead
MOLMED,I:MLM,MLMD.MI^I20,4032008,2008,Equities,Milan,Italy,Euro,Pharmaceuticals and Biotechnology,Molmed,Dead
MONRIF,I:MON,EDII.MI^E25,2071986,1986,Equities,Milan,Italy,Euro,Media,Monrif,Dead
MORPHOSYS,D:MOR,MOR1.H^J24,8031999,1999,Equities,Hamburg,Germany,Euro,Pharmaceuticals and Biotechnology,Morphosys,Dead
MY HAMMER HL JGE,D:MYRG,MYRGe.F^F13,2042013,2013,Equities,Deutsche Boerse AG,Germany,Euro,Unclassified,My Hammer HL JGE,Dead
NANOFOCUS K,D:N2F,N2Fk.BE^L25,14112005,2005,Equities,Berlin,Germany,Euro,Electronic and Electrical Equipment,Nanofocus K,Dead
NEXT ALTERNATIVE,D:N4H,NEXZ.F^L12,29092008,2008,Equities,Deutsche Boerse AG,Germany,Euro,Alternative Energy,Next Alternative,Dead
NEXT ALTERNATIVE (XET),D:N4HX,-,29092008,2008,Equities,Xetra,Germany,Euro,Alternative Energy,Next Alternative (XETRA),Dead
NEXTEVOLUTION,D:N5E,N5EG.H^B15,30032006,2006,Equities,Hamburg,Germany,Euro,Industrial Support Services,Nextevolution,Dead
NICE,I:NICE,NICE.MI^D19,19052006,2006,Equities,Milan,Italy,Euro,Electronic and Electrical Equipment,Nice,Dead
NVP SPA,I:NVP,NVPP.MI^C25,5122019,2019,Equities,Milan,Italy,Euro,Media,NVP Spa,Dead
NYMPHENBURG IMMOBILIEN,D:LBN,LBNG.SG^G17,2042002,2002,Equities,Stuttgart,Germany,Euro,Real Estate Investment and Services,Nymphenburg Immobilien,Dead
OLAINES KIMISKI - FAR,LV:OLA,OLF1R.RI^A22,4111997,1997,Equities,NASDAQ OMX Riga,Latvia,Euro,Pharmaceuticals and Biotechnology,Olaines Kimiski - Far,Dead
